category,criterion_id,criterion,score,max_score,evidence
Model Transparency & Documentation,T-01,Training data composition disclosed,2,5,"High-level categories provided (medical lit, clinical records); specific datasets, sources, proportions NOT disclosed"
Model Transparency & Documentation,T-02,Model architecture documentation,3,5,"Transformer-based confirmed; 7B params disclosed; detailed architecture (attention, tokenization) not shared"
Model Transparency & Documentation,T-03,Model Card or equivalent,3,5,"'Model Information Sheet' provided; does not meet full Model Card standards (no disaggregated metrics)"
Model Transparency & Documentation,T-04,Performance benchmarks,4,5,"Comprehensive benchmarks on MedQA, PubMedQA, clinical NER; one independent third-party audit available"
Model Transparency & Documentation,T-05,Known limitations documented,3,5,"Some limitations documented (hallucination rates, domain boundaries); no systematic failure mode analysis"
Data Privacy & Security,P-01,GDPR compliance,3,5,"EU DPA signed; API processing on US servers; SCCs in place but joint TIA not conducted"
Data Privacy & Security,P-02,Data retention policies,4,5,"30-day API log retention; deletion on request; written retention schedule provided"
Data Privacy & Security,P-03,SOC 2 Type II certification,5,5,"Current SOC 2 Type II report (Deloitte, 2024); no material findings"
Data Privacy & Security,P-04,HIPAA compliance,5,5,"BAA executed; compliance program independently audited"
Data Privacy & Security,P-05,Encryption standards,4,5,"TLS 1.3 in transit, AES-256 at rest; customer-managed keys not available"
Data Privacy & Security,P-06,Penetration testing,4,5,"Annual third-party pen test; summary report shared; no critical findings in 2024"
Model Governance & Lifecycle,G-01,Model versioning and change mgmt,4,5,"Semantic versioning; 30-day advance notice; opt-out rights for updates"
Model Governance & Lifecycle,G-02,Rollback capability,3,5,"Previous version maintained 90 days; rollback requires support ticket (not self-service)"
Model Governance & Lifecycle,G-03,Performance regression testing,3,5,"Internal regression tests before updates; methodology not disclosed; customer must run own tests"
Model Governance & Lifecycle,G-04,Bias and fairness testing,2,5,"Aggregate fairness metrics only; no disaggregated testing for EU demographics; methodology not shared"
Model Governance & Lifecycle,G-05,Incident response notification,3,5,"Incident response plan exists; 24hr notification for critical; no joint protocol established"
Contractual & Business Continuity,C-01,Service Level Agreement,4,5,"99.9% uptime SLA with credits; P1=1hr, P2=4hr response targets"
Contractual & Business Continuity,C-02,DR and business continuity,3,5,"DR plan documented (RTO: 4hr, RPO: 1hr); annual testing; customer not invited to observe"
Contractual & Business Continuity,C-03,Vendor lock-in risk,2,5,"HIGH lock-in: API-only access, no model weights, no portability, no escrow agreement"
Contractual & Business Continuity,C-04,Financial stability,3,5,"Series C ($180M); not yet profitable; 60% YoY growth; startup dependency risk for critical healthcare"
Contractual & Business Continuity,C-05,Insurance and liability,3,5,"$10M cyber liability; liability capped at 12 months fees; does not cover clinical outcome liability"
Contractual & Business Continuity,C-06,Subprocessor transparency,3,5,"Primary subprocessors disclosed (GCP); full list requires NDA; 14-day change notice"
Regulatory & Ethical Alignment,E-01,EU AI Act readiness,3,5,"Acknowledges EU AI Act; compliance program initiated; no high-risk certification yet"
Regulatory & Ethical Alignment,E-02,ISO/IEC 42001 certification,1,5,"NOT certified; no current certification plans disclosed — significant gap"
Regulatory & Ethical Alignment,E-03,Responsible AI principles,4,5,"Published principles (fairness, safety, transparency, privacy); aligned with OECD AI Principles"
Regulatory & Ethical Alignment,E-04,AI ethics review board,3,5,"Internal AI Safety team (~8 people); no external advisory board; review process not formalized"
Regulatory & Ethical Alignment,E-05,Regulatory cooperation,4,5,"Willing to cooperate with EU authorities; contractual commitment to support conformity assessments"
