article,requirement_name,description,current_status,gap_description,severity,remediation_action,deadline,owner
Article 9,Risk Management System,"Establish and maintain risk management system throughout AI lifecycle",Partial,"Risk assessment initiated; needs formalization into continuous process",High,"Formalize risk management as ongoing process; integrate into product lifecycle",Month 1,AI Governance Analyst
Article 9,Risk Identification,"Identify and analyze known and reasonably foreseeable risks",In Progress,"Risk register being developed (this project)",Medium,"Complete risk register with all identified risks and mitigations",Month 1,AI Governance Analyst
Article 9,Residual Risk Evaluation,"Residual risk after mitigation must be judged acceptable",Not Started,"Residual risk evaluation pending completion of mitigation plans",High,"Evaluate residual risk levels after mitigation implementation",Month 2,Head of Compliance
Article 10,Data Governance,"Training/validation/testing datasets subject to appropriate governance",Partial,"Framework exists for internal data; third-party training data governance unclear",High,"Negotiate training data documentation from FoundationHealth for Art. 10 compliance",Month 2,Data Protection Officer
Article 10,Dataset Representativeness,"Datasets relevant, sufficiently representative, free of errors",Partial,"Underrepresentation: Eastern Europe, Sub-Saharan Africa, SE Asia; limited rare disease coverage",High,"Data augmentation and bias mitigation strategy for underrepresented populations",Month 3,Chief Medical Officer
Article 10,Special Category Data,"Appropriate safeguards for health data processing",In Progress,"De-identification pipeline in place; DPIA v1 complete but needs update for foundation model flows",Medium,"Update DPIA to cover foundation model data flows and cross-border transfers",Month 2,Data Protection Officer
Article 11,Technical Documentation,"Draw up technical documentation before market placement",In Progress,"System spec exists; governance assessment contributes; gaps in monitoring and conformity evidence",Medium,"Complete full technical documentation package per Annex IV requirements",Month 2,VP Engineering
Article 12,Record-Keeping,"Automatic recording of events (logs) throughout system lifetime",Partial,"API call logging exists; need comprehensive audit trail for all clinical suggestions",Medium,"Implement comprehensive audit logging with input-output-reasoning chain capture",Month 2,VP Engineering
Article 12,Log Retention,"Logs retained for appropriate period",Planned,"Retention policy not yet defined",Medium,"Define retention policy (minimum: 10 years per MDR Class IIa requirements)",Month 2,Head of Compliance
Article 13,Transparency,"Design to allow deployers to interpret output appropriately",Partial,"Confidence scores provided; explanation of reasoning needs enhancement",Medium,"Enhance output explanations; develop deployer-facing documentation",Month 2,Product Manager
Article 13,Instructions for Use,"Provide instructions for use to deployers",In Progress,"Model Card being developed (this project)",Medium,"Complete Model Card and deployer training materials",Month 2,AI Governance Analyst
Article 14,Human Oversight,"Design to allow effective human oversight during use",Compliant,"Physician-in-the-loop: all suggestions require physician review and approval",Low,"Maintain current design; finalize physician training materials",Month 1,Chief Medical Officer
Article 14,Override Capability,"Enable deployer to override or reverse AI output",Compliant,"Physicians can dismiss any suggestion; system does not auto-execute",Low,"No action needed — maintain current functionality",N/A,VP Engineering
Article 15,Accuracy,"Achieve appropriate level of accuracy for intended purpose",Partial,"91.7% Top-3 accuracy is strong; 3.4% hallucination rate exceeds 2% target",Critical,"Reduce hallucination rate below 2% target; implement output verification layer",Month 1,VP Engineering
Article 15,Robustness,"Resilient to errors, faults, inconsistencies; adversarial resilience",Partial,"Input validation exists; adversarial robustness testing not performed",High,"Schedule red-team testing and adversarial robustness assessment",Month 2,VP Engineering
Article 15,Cybersecurity,"Cybersecurity measures appropriate to risk level",In Progress,"TLS 1.3 + AES-256 in place; formal cybersecurity assessment per ENISA not done",Medium,"Complete formal cybersecurity assessment per ENISA AI security guidelines",Month 2,VP Engineering
